profile,scenario,evaluated_images,confidence_floor,external_class_aware_nms_iou,per_image_max_detections,retained_predictions,avg_retained_detections_per_image,mAP_50_95,AP50,AP75,AR1,AR10,AR100,TP,FP,FN,precision,recall,F1,operating_confidence_for_PRF1,matching_iou_for_PRF1
raw_baseline,crowded_occluded,50,0.001,none,300,13190,263.8,0.28099091745546745,0.5080622955745175,0.28320616289378703,0.22699729918061198,0.39907302830910857,0.44754504065819545,1083,12107,241,0.0821076573161486,0.81797583081571,0.14923522116577098,0.001,0.5
raw_baseline,daytime_normal,50,0.001,none,300,12199,243.98,0.41735659828444754,0.6172486007439685,0.427005432945861,0.32205404148974603,0.5769464184546265,0.60271080454733,327,11872,26,0.02680547585867694,0.9263456090651558,0.05210325047801147,0.001,0.5
raw_baseline,night_lowlight,50,0.001,none,300,13794,275.88,0.18390728413454363,0.34328046125742523,0.1721328339206452,0.18580461910970386,0.33163822591183373,0.4309612502106449,468,13326,123,0.033927794693344934,0.7918781725888325,0.06506777893639208,0.001,0.5
raw_baseline,small_distant,50,0.001,none,300,12856,257.12,0.22199487873650678,0.45125759833841816,0.15561625304849924,0.2334447882411408,0.391933946499296,0.4284146188158346,674,12182,125,0.05242688238954574,0.8435544430538173,0.09871841816184548,0.001,0.5
conf025_no_nms,crowded_occluded,50,0.25,none,100,1255,25.1,0.2547760417346787,0.4514898355190611,0.2673485638027645,0.2036466465836152,0.3011470581471067,0.31754821544667317,764,491,560,0.6087649402390438,0.5770392749244713,0.5924777045366421,0.25,0.5
conf025_no_nms,daytime_normal,50,0.25,none,100,546,10.92,0.3996948769589522,0.564453526571142,0.4228614527557087,0.2817762637119683,0.46333960575068645,0.46375977381791333,291,255,62,0.532967032967033,0.8243626062322946,0.6473859844271412,0.25,0.5
conf025_no_nms,night_lowlight,50,0.25,none,100,758,15.16,0.17075152491101042,0.3048220347176662,0.16673613508899837,0.11636017466525941,0.24407213515567025,0.2498971313862355,315,443,276,0.4155672823218997,0.5329949238578681,0.46701260192735355,0.25,0.5
conf025_no_nms,small_distant,50,0.25,none,100,957,19.14,0.20776581166515154,0.41342977159954636,0.14045284424333448,0.20640397191461018,0.31494657014717803,0.32314991695234857,496,461,303,0.5182863113897597,0.6207759699624531,0.5649202733485195,0.25,0.5
conf025_nms045,crowded_occluded,50,0.25,0.45,100,1135,22.7,0.25216751364268314,0.4463302614966463,0.2650640014589939,0.2036466465836152,0.3001089998588059,0.31164639134151456,740,395,584,0.6519823788546255,0.5589123867069486,0.6018706791378609,0.25,0.5
conf025_nms045,daytime_normal,50,0.25,0.45,100,515,10.3,0.39909490313809026,0.5645696821310535,0.42067719018905747,0.2817762637119683,0.4617729325697862,0.4617729325697862,290,225,63,0.5631067961165048,0.8215297450424929,0.6682027649769585,0.25,0.5
conf025_nms045,night_lowlight,50,0.25,0.45,100,670,13.4,0.16210485338519084,0.2948131947364795,0.15600025569994266,0.11636017466525941,0.2339833538804483,0.23443590778336537,302,368,289,0.4507462686567164,0.5109983079526227,0.47898493259318004,0.25,0.5
conf025_nms045,small_distant,50,0.25,0.45,100,887,17.74,0.20636388814120205,0.4100714598162934,0.13975626526440998,0.20640397191461018,0.31201657208040184,0.31774154619443373,489,398,310,0.5512965050732808,0.6120150187734669,0.5800711743772243,0.25,0.5
conf025_nms055,crowded_occluded,50,0.25,0.55,100,1186,23.72,0.2534838705733084,0.44939020119095624,0.2658545576435575,0.2036466465836152,0.3003660473229262,0.31492583016287434,755,431,569,0.636593591905565,0.5702416918429003,0.601593625498008,0.25,0.5
conf025_nms055,daytime_normal,50,0.25,0.55,100,525,10.5,0.3992870717066904,0.56560563453262,0.4206591093033796,0.2817762637119683,0.46191298859219515,0.46191298859219515,291,234,62,0.5542857142857143,0.8243626062322946,0.662870159453303,0.25,0.5
conf025_nms055,night_lowlight,50,0.25,0.55,100,708,14.16,0.16867113726468255,0.30664799029337164,0.16117290915989965,0.11636017466525941,0.2405923555863023,0.2452403273347583,310,398,281,0.4378531073446328,0.5245346869712352,0.4772902232486528,0.25,0.5
conf025_nms055,small_distant,50,0.25,0.55,100,913,18.26,0.20804619930989227,0.41441269847670137,0.1407200203384814,0.20640397191461018,0.3140807692813772,0.32219059258876886,496,417,303,0.5432639649507119,0.6207759699624531,0.5794392523364487,0.25,0.5
conf025_nms065,crowded_occluded,50,0.25,0.65,100,1215,24.3,0.2545954236346623,0.45129738742457143,0.26729416792884614,0.2036466465836152,0.3012661057661543,0.3169164894293991,760,455,564,0.6255144032921811,0.5740181268882175,0.5986608901142182,0.25,0.5
conf025_nms065,daytime_normal,50,0.25,0.65,100,528,10.56,0.39924772621195515,0.5654946586038464,0.4206425261789853,0.2817762637119683,0.46191298859219515,0.46191298859219515,291,237,62,0.5511363636363636,0.8243626062322946,0.6606129398410897,0.25,0.5
conf025_nms065,night_lowlight,50,0.25,0.65,100,731,14.62,0.16877705792187594,0.3072967944750752,0.1612220219505945,0.11636017466525941,0.24131826741996232,0.24620164406484019,314,417,277,0.42954856361149113,0.5313028764805414,0.47503782148260215,0.25,0.5
conf025_nms065,small_distant,50,0.25,0.65,100,935,18.7,0.20788149682099855,0.413925826842697,0.1406455466825636,0.20640397191461018,0.3140807692813772,0.32219059258876886,496,439,303,0.5304812834224599,0.6207759699624531,0.5720876585928489,0.25,0.5
conf035_no_nms,crowded_occluded,50,0.35,none,100,841,16.82,0.24202873100485908,0.4180526276594421,0.2636973310045751,0.20112602416141795,0.2828545562762809,0.2902676087911763,647,194,677,0.7693222354340071,0.48867069486404835,0.5976905311778291,0.35,0.5
conf035_no_nms,daytime_normal,50,0.35,none,100,376,7.52,0.3694520132408441,0.5130775609110636,0.392433421119878,0.27571565765136213,0.4127196875931486,0.4127196875931486,262,114,91,0.6968085106382979,0.7422096317280453,0.7187928669410152,0.35,0.5
conf035_no_nms,night_lowlight,50,0.35,none,100,442,8.84,0.16082760605521865,0.28206980946381266,0.16189309665736082,0.10279143643550423,0.21979188285483683,0.21979188285483683,265,177,326,0.5995475113122172,0.44839255499153974,0.5130687318489835,0.35,0.5
conf035_no_nms,small_distant,50,0.35,none,100,633,12.66,0.1565066143033604,0.3132891858834603,0.11238996497702138,0.13924256189605733,0.21847138373278188,0.22196181427488418,416,217,383,0.6571879936808847,0.5206508135168961,0.5810055865921787,0.35,0.5
conf035_nms045,crowded_occluded,50,0.35,0.45,100,810,16.2,0.24086327552880513,0.41589974513863087,0.2621529209321975,0.20112602416141795,0.2822489215053605,0.2885811925321029,635,175,689,0.7839506172839507,0.479607250755287,0.5951265229615745,0.35,0.5
conf035_nms045,daytime_normal,50,0.35,0.45,100,370,7.4,0.36903553378189563,0.5134456789945283,0.3909905259987032,0.27571565765136213,0.4116806673338821,0.4116806673338821,262,108,91,0.7081081081081081,0.7422096317280453,0.7247579529737207,0.35,0.5
conf035_nms045,night_lowlight,50,0.35,0.45,100,423,8.46,0.15460956669957307,0.27683315496765126,0.15127572802421907,0.10279143643550423,0.21020273646181634,0.21020273646181634,262,161,329,0.6193853427895981,0.4433164128595601,0.5167652859960552,0.35,0.5
conf035_nms045,small_distant,50,0.35,0.45,100,616,12.32,0.15532448687665884,0.3099453212276194,0.11181721510412751,0.13924256189605733,0.21643056740625127,0.21897908272072406,413,203,386,0.6704545454545454,0.5168961201501877,0.5837455830388693,0.35,0.5
conf035_nms055,crowded_occluded,50,0.35,0.55,100,825,16.5,0.24180536049372356,0.41694742369907606,0.2627493815453351,0.20112602416141795,0.28290998096798103,0.2900181976785256,645,180,679,0.7818181818181819,0.4871601208459215,0.6002791996277339,0.35,0.5
conf035_nms055,daytime_normal,50,0.35,0.55,100,370,7.4,0.36903553378189563,0.5134456789945283,0.3909905259987032,0.27571565765136213,0.4116806673338821,0.4116806673338821,262,108,91,0.7081081081081081,0.7422096317280453,0.7247579529737207,0.35,0.5
conf035_nms055,night_lowlight,50,0.35,0.55,100,430,8.6,0.15870100393607475,0.28366087417184127,0.1559172542048996,0.10279143643550423,0.21639713729907437,0.21639713729907437,265,165,326,0.6162790697674418,0.44839255499153974,0.5190989226248776,0.35,0.5
conf035_nms055,small_distant,50,0.35,0.55,100,620,12.4,0.15663083931763105,0.31352772216722674,0.11250687245832226,0.13924256189605733,0.21847138373278188,0.22196181427488418,416,204,383,0.6709677419354839,0.5206508135168961,0.5863284002818886,0.35,0.5
conf035_nms065,crowded_occluded,50,0.35,0.65,100,832,16.64,0.2417798194269279,0.4168581119551239,0.2627847669729703,0.20112602416141795,0.2828545562762809,0.2901151908890009,646,186,678,0.7764423076923077,0.4879154078549849,0.5992578849721708,0.35,0.5
conf035_nms065,daytime_normal,50,0.35,0.65,100,371,7.42,0.369034470263647,0.5134402631891991,0.3909905259987032,0.27571565765136213,0.4116806673338821,0.4116806673338821,262,109,91,0.706199460916442,0.7422096317280453,0.7237569060773481,0.35,0.5
conf035_nms065,night_lowlight,50,0.35,0.65,100,434,8.68,0.1587223979147161,0.2836284325473971,0.15615667717452403,0.10279143643550423,0.21656720532628523,0.21656720532628523,265,169,326,0.6105990783410138,0.44839255499153974,0.5170731707317073,0.35,0.5
conf035_nms065,small_distant,50,0.35,0.65,100,627,12.54,0.15658071547594216,0.31339319479657174,0.11248098342418697,0.13924256189605733,0.21847138373278188,0.22196181427488418,416,211,383,0.6634768740031898,0.5206508135168961,0.5834502103786816,0.35,0.5
