recall,precision,model
0.0,0.865079365079365,yolo
0.01,0.853174603174603,yolo
0.02,0.8202075702075701,yolo
0.03,0.8034851621808142,yolo
0.04,0.7909035409035408,yolo
0.05,0.7899877899877898,yolo
0.06,0.7879477420883296,yolo
0.07,0.7877317282634448,yolo
0.08,0.783747777088038,yolo
0.09,0.7776300996589111,yolo
0.1,0.7471315079704198,yolo
0.11,0.7183881698391473,yolo
0.12,0.7093827342073552,yolo
0.13,0.6832465096130195,yolo
0.14,0.6750898281370102,yolo
0.15,0.6599864770264077,yolo
0.16,0.6087433093538167,yolo
0.17,0.4802612654305963,yolo
0.18,0.47816768305490104,yolo
0.19,0.4643686062845341,yolo
0.2,0.4601569530828468,yolo
0.21,0.45037942271462134,yolo
0.22,0.4441283393959871,yolo
0.23,0.4323728199480871,yolo
0.24,0.42542074522137874,yolo
0.25,0.39387197501951604,yolo
0.26,0.3644394841355095,yolo
0.27,0.3537288568022161,yolo
0.28,0.3437715677064048,yolo
0.29,0.33838584445834885,yolo
0.3,0.3308772426109172,yolo
0.31,0.27942604281820677,yolo
0.32,0.26794710192183074,yolo
0.33,0.2612684201281427,yolo
0.34,0.19707977014921568,yolo
0.35000000000000003,0.1895080284653356,yolo
0.36,0.18180066545982945,yolo
0.37,0.16421281358774206,yolo
0.38,0.15637650707934814,yolo
0.39,0.15248197048672005,yolo
0.4,0.14679410035892468,yolo
0.41000000000000003,0.14353613793852196,yolo
0.42,0.13927736597037,yolo
0.43,0.13507572203699836,yolo
0.44,0.12596679881250236,yolo
0.45,0.11320210314547159,yolo
0.46,0.10743775647484262,yolo
0.47000000000000003,0.10208263316907605,yolo
0.48,0.09307774968394436,yolo
0.49,0.08684799032466005,yolo
0.5,0.08074954176211835,yolo
0.51,0.07393699190759527,yolo
0.52,0.06983002361707082,yolo
0.53,0.0661278489841036,yolo
0.54,0.059114231532996095,yolo
0.55,0.053582914546041346,yolo
0.56,0.048731549661506356,yolo
0.5700000000000001,0.04436943310436176,yolo
0.58,0.0378365763295312,yolo
0.59,0.03503692291345694,yolo
0.6,0.029942392712008218,yolo
0.61,0.025294139479642208,yolo
0.62,0.019859578736208628,yolo
0.63,0.012915298391091378,yolo
0.64,0.0,yolo
0.65,0.0,yolo
0.66,0.0,yolo
0.67,0.0,yolo
0.68,0.0,yolo
0.6900000000000001,0.0,yolo
0.7000000000000001,0.0,yolo
0.71,0.0,yolo
0.72,0.0,yolo
0.73,0.0,yolo
0.74,0.0,yolo
0.75,0.0,yolo
0.76,0.0,yolo
