class_name,gt_instances,AP_50_95,AP50,AP75,model
person,215,0.1323541120505834,0.2748883594785362,0.11168116438726798,yolo
bicycle,12,0.06109953100573214,0.17202970297029702,0.04455445544554455,yolo
car,2234,0.28415799173954187,0.47916843690170857,0.28309289339551,yolo
motorcycle,6,0.04207920792079208,0.08415841584158416,0.0,yolo
bus,33,0.14640590473591739,0.19167920160496765,0.16116562293692593,yolo
train,0,,,,yolo
truck,74,0.1793117274379547,0.22840479355479001,0.21788765457758197,yolo
traffic light,493,0.04279757207463615,0.11680428664162174,0.018624460919413843,yolo
person,215,0.22693299477124307,0.4745396543036154,0.17144159923224575,rtdetr
bicycle,12,0.33080583850271533,0.6836359722264012,0.31298129812981296,rtdetr
car,2234,0.38519518562776756,0.6573875181205052,0.37919287322539025,rtdetr
motorcycle,6,0.10700402931539836,0.2743257084329122,0.03825382538253825,rtdetr
bus,33,0.25148397563674707,0.3504845518488051,0.30578133200099905,rtdetr
train,0,,,,rtdetr
truck,74,0.29719010225409115,0.3754336554261227,0.3365434153664032,rtdetr
traffic light,493,0.13246662206013465,0.3785714185318083,0.07195934423839645,rtdetr
