iou_threshold,macro_ap,model
0.5,0.2210190281419294,yolo
0.55,0.20531808804166937,yolo
0.6,0.1864409813972533,yolo
0.65,0.1675221934811166,yolo
0.7,0.14909468169536066,yolo
0.75,0.11957232166603488,yolo
0.8,0.1010679736531383,yolo
0.85,0.06381089203714926,yolo
0.9,0.044031797092353296,yolo
0.95,0.010987824172791679,yolo
0.5,0.45633978269859576,rtdetr
0.55,0.4263155641210849,rtdetr
0.6,0.39562223999001617,rtdetr
0.65,0.3353290806232587,rtdetr
0.7,0.2801293379478332,rtdetr
0.75,0.2308790982251123,rtdetr
0.8,0.1506254923021046,rtdetr
0.85,0.10528660128660335,rtdetr
0.9,0.06740875949639506,rtdetr
0.95,0.025033683549135,rtdetr
